=========================================================================
Supervised learning of the non-interacting case...
=========================================================================
cycles    fidelity      MSE           ||MSE gradient||    
549       0.98568       0.00025       0.00115             
550       0.98494       0.00026       0.00081             
551       0.98533       0.00025       0.00074             
552       0.98538       0.00025       0.00092             
553       0.98565       0.00025       0.00077             
554       0.98514       0.00025       0.00080             
555       0.98593       0.00024       0.00086             
556       0.98710       0.00023       0.00086             
557       0.98589       0.00024       0.00085             
558       0.98608       0.00024       0.00080             
559       0.98554       0.00024       0.00105             
560       0.98651       0.00023       0.00084             
561       0.98584       0.00024       0.00071             
562       0.98701       0.00023       0.00081             
563       0.98667       0.00023       0.00067             
564       0.98611       0.00023       0.00098             
565       0.98498       0.00025       0.00082             
566       0.98541       0.00024       0.00075             
567       0.98684       0.00022       0.00063             
568       0.98544       0.00024       0.00082             
569       0.98657       0.00023       0.00069             
570       0.98571       0.00024       0.00067             
571       0.98605       0.00023       0.00086             
572       0.98648       0.00023       0.00069             
573       0.98565       0.00023       0.00073             
574       0.98580       0.00023       0.00074             
575       0.98627       0.00023       0.00076             
576       0.98634       0.00023       0.00068             
577       0.98622       0.00022       0.00089             
578       0.98593       0.00023       0.00068             
579       0.98676       0.00022       0.00085             
580       0.98744       0.00021       0.00118             
581       0.98705       0.00021       0.00062             
582       0.98531       0.00023       0.00091             
583       0.98637       0.00022       0.00082             
584       0.98521       0.00023       0.00107             
585       0.98619       0.00022       0.00085             
586       0.98760       0.00021       0.00077             
587       0.98590       0.00022       0.00073             
588       0.98585       0.00022       0.00102             
589       0.98665       0.00021       0.00069             
590       0.98656       0.00022       0.00090             
591       0.98705       0.00021       0.00065             
592       0.98738       0.00021       0.00074             
593       0.98606       0.00022       0.00063             
594       0.98697       0.00021       0.00064             
595       0.98658       0.00021       0.00079             
596       0.98641       0.00021       0.00064             
597       0.98684       0.00021       0.00060             
598       0.98689       0.00021       0.00066             
599       0.98699       0.00021       0.00076             
600       0.98713       0.00020       0.00073             
601       0.98680       0.00020       0.00063             
602       0.98684       0.00021       0.00070             
603       0.98567       0.00022       0.00076             
604       0.98798       0.00019       0.00106             
605       0.98661       0.00021       0.00068             
606       0.98692       0.00021       0.00071             
607       0.98677       0.00020       0.00081             
608       0.98653       0.00021       0.00083             
