# cycles  fidelity      MSE           ||MSE gradient||    
393       0.84931711    0.00336010    0.00427470          
394       0.84976628    0.00332704    0.00425274          
395       0.84888373    0.00335652    0.00467548          
396       0.84945729    0.00330914    0.00412989          
397       0.84907993    0.00334489    0.00424149          
398       0.84994869    0.00329983    0.00443921          
399       0.84947436    0.00328368    0.00410771          
400       0.84972536    0.00325313    0.00417358          
401       0.84905518    0.00326961    0.00422508          
402       0.84993402    0.00322952    0.00419763          
403       0.85031497    0.00323489    0.00403263          
404       0.84924294    0.00323338    0.00404108          
405       0.84987175    0.00320909    0.00399512          
406       0.85005860    0.00319790    0.00395681          
407       0.84917569    0.00318405    0.00419639          
408       0.84959850    0.00317448    0.00417575          
409       0.85030437    0.00313552    0.00389018          
410       0.84972425    0.00313789    0.00402142          
411       0.84981919    0.00313555    0.00394625          
412       0.85043436    0.00311816    0.00393966          
413       0.85109061    0.00309249    0.00403230          
414       0.85018523    0.00310155    0.00402427          
415       0.85058823    0.00307927    0.00386728          
416       0.85072858    0.00306656    0.00380013          
417       0.85025761    0.00305194    0.00374771          
418       0.85022087    0.00304311    0.00375057          
419       0.85137017    0.00302040    0.00381037          
420       0.85067949    0.00300502    0.00373017          
421       0.85192294    0.00298258    0.00364825          
422       0.85201655    0.00297205    0.00358044          
423       0.85066854    0.00298287    0.00369875          
424       0.85137731    0.00296808    0.00372453          
425       0.85177819    0.00293301    0.00371594          
426       0.85173464    0.00294000    0.00353741          
427       0.85103764    0.00291392    0.00355964          
428       0.85235076    0.00288583    0.00356506          
429       0.85184807    0.00290658    0.00367852          
430       0.85116915    0.00288732    0.00351478          
431       0.85132129    0.00288488    0.00358459          
432       0.85185960    0.00285372    0.00353573          
433       0.85196280    0.00287010    0.00343415          
434       0.85249943    0.00283458    0.00348297          
435       0.85189809    0.00284820    0.00341231          
436       0.85258155    0.00281967    0.00352937          
437       0.85209009    0.00281016    0.00350204          
438       0.85248340    0.00279697    0.00334860          
439       0.85216364    0.00278215    0.00340281          
440       0.85318104    0.00276799    0.00329375          
441       0.85301161    0.00276880    0.00332336          
442       0.85287656    0.00276628    0.00329992          
443       0.85313330    0.00275787    0.00327962          
444       0.85190126    0.00276346    0.00322142          
445       0.85336615    0.00272751    0.00358059          
446       0.85385557    0.00271363    0.00335764          
447       0.85323323    0.00269607    0.00314480          
448       0.85336817    0.00269685    0.00320681          
449       0.85282745    0.00271427    0.00323591          
450       0.85220985    0.00270571    0.00315101          
451       0.85306408    0.00268446    0.00334727          
452       0.85314871    0.00269296    0.00323883          
453       0.85286964    0.00267982    0.00319131          
454       0.85321316    0.00265725    0.00310291          
455       0.85359709    0.00263842    0.00305465          
456       0.85346365    0.00263687    0.00312629          
457       0.85368769    0.00262696    0.00308101          
458       0.85360580    0.00262281    0.00302623          
459       0.85409530    0.00261140    0.00314658          
460       0.85325752    0.00261164    0.00303096          
461       0.85424859    0.00257873    0.00299549          
462       0.85403431    0.00259881    0.00322873          
463       0.85311377    0.00258666    0.00297300          
464       0.85392651    0.00257033    0.00320914          
465       0.85415379    0.00255653    0.00304595          
466       0.85475025    0.00254537    0.00290225          
467       0.85431474    0.00254523    0.00296164          
468       0.85322163    0.00254838    0.00331988          
469       0.85405917    0.00253117    0.00283866          
470       0.85416303    0.00252046    0.00324904          
471       0.85499073    0.00251400    0.00320437          
472       0.85437777    0.00251000    0.00285507          
473       0.85468471    0.00249652    0.00311358          
474       0.85489478    0.00248632    0.00279258          
475       0.85401121    0.00248589    0.00305241          
476       0.85420132    0.00248818    0.00302860          
477       0.85428447    0.00246423    0.00291650          
478       0.85491352    0.00247465    0.00272563          
479       0.85516952    0.00245472    0.00299230          
480       0.85472728    0.00245573    0.00283185          
481       0.85547739    0.00242809    0.00283357          
482       0.85594135    0.00241009    0.00273525          
483       0.85410732    0.00243993    0.00293459          
484       0.85465076    0.00243059    0.00276038          
485       0.85520657    0.00241809    0.00275925          
486       0.85536983    0.00241034    0.00266142          
487       0.85526123    0.00240308    0.00267276          
488       0.85438171    0.00241326    0.00267022          
489       0.85590480    0.00239067    0.00271793          
490       0.85584400    0.00237571    0.00260339          
491       0.85566213    0.00236938    0.00264579          
492       0.85623782    0.00236879    0.00277961          
493       0.85533290    0.00237503    0.00272121          
494       0.85576257    0.00235046    0.00286045          
495       0.85522561    0.00235412    0.00261456          
496       0.85471836    0.00234501    0.00272837          
497       0.85563887    0.00234073    0.00276251          
498       0.85595982    0.00232632    0.00265123          
499       0.85533362    0.00233632    0.00309778          
500       0.85656242    0.00231628    0.00271556          
501       0.85597627    0.00231468    0.00256196          
502       0.85571334    0.00231764    0.00274899          
503       0.85620250    0.00230490    0.00281240          
504       0.85647789    0.00230091    0.00247747          
505       0.85586987    0.00228804    0.00271597          
506       0.85611748    0.00227908    0.00281559          
507       0.85586201    0.00229363    0.00243905          
508       0.85621738    0.00226898    0.00242503          
509       0.85614141    0.00227285    0.00263491          
510       0.85619701    0.00227481    0.00243152          
511       0.85590079    0.00226428    0.00247191          
512       0.85624950    0.00225500    0.00255231          
513       0.85601534    0.00224473    0.00241487          
514       0.85620645    0.00225563    0.00239223          
515       0.85642545    0.00223624    0.00230861          
516       0.85659706    0.00223936    0.00243286          
517       0.85704531    0.00221597    0.00232644          
518       0.85672242    0.00222473    0.00237725          
519       0.85658388    0.00221367    0.00237617          
520       0.85740607    0.00219921    0.00227688          
521       0.85648177    0.00222213    0.00264229          
522       0.85726114    0.00220211    0.00234959          
523       0.85691397    0.00219860    0.00238993          
524       0.85686463    0.00219176    0.00252909          
525       0.85706504    0.00218726    0.00244575          
526       0.85699036    0.00218532    0.00232865          
527       0.85675100    0.00218954    0.00255894          
528       0.85740508    0.00216385    0.00223460          
529       0.85664238    0.00216334    0.00241294          
