# cycles  fidelity      MSE           ||MSE gradient||    
417       0.98297769    0.00036691    0.00122470          
418       0.98380566    0.00034800    0.00133031          
419       0.98403831    0.00034751    0.00142221          
420       0.98434279    0.00033888    0.00110090          
421       0.98421304    0.00033935    0.00190373          
422       0.98415605    0.00033940    0.00096747          
423       0.98317460    0.00035579    0.00159358          
424       0.98357743    0.00034899    0.00112392          
425       0.98234576    0.00036334    0.00139947          
426       0.98342316    0.00035036    0.00167317          
427       0.98398557    0.00034241    0.00108606          
428       0.98435505    0.00032857    0.00121342          
429       0.98426052    0.00033035    0.00115746          
430       0.98473372    0.00032134    0.00132775          
431       0.98393100    0.00033675    0.00134031          
432       0.98406642    0.00032793    0.00102900          
433       0.98447438    0.00032103    0.00133242          
434       0.98477707    0.00031538    0.00114447          
435       0.98515109    0.00031368    0.00137302          
436       0.98378620    0.00032747    0.00139539          
437       0.98473627    0.00031217    0.00092714          
438       0.98474683    0.00031113    0.00119336          
439       0.98475885    0.00030907    0.00088713          
440       0.98405151    0.00032249    0.00102998          
441       0.98386704    0.00031987    0.00119522          
442       0.98353000    0.00032195    0.00090986          
443       0.98461204    0.00030981    0.00119204          
444       0.98554468    0.00029908    0.00091724          
445       0.98352297    0.00032227    0.00102673          
446       0.98409757    0.00031001    0.00107094          
447       0.98487061    0.00030353    0.00090721          
448       0.98336360    0.00031785    0.00104228          
449       0.98499872    0.00029809    0.00095254          
450       0.98432245    0.00030588    0.00105565          
451       0.98486460    0.00030140    0.00107677          
452       0.98428954    0.00030885    0.00107682          
453       0.98480932    0.00029768    0.00087360          
454       0.98470526    0.00029671    0.00114498          
455       0.98479767    0.00029249    0.00084501          
456       0.98526922    0.00028419    0.00087972          
457       0.98503115    0.00028921    0.00089200          
458       0.98590271    0.00027649    0.00089441          
459       0.98537987    0.00028255    0.00093157          
460       0.98329174    0.00030565    0.00095223          
461       0.98498592    0.00028069    0.00083122          
462       0.98405825    0.00028878    0.00097971          
463       0.98448169    0.00028786    0.00123611          
464       0.98560561    0.00027168    0.00096911          
465       0.98501526    0.00028002    0.00129940          
466       0.98469024    0.00028300    0.00092964          
467       0.98375533    0.00029632    0.00108070          
468       0.98469483    0.00028389    0.00160471          
469       0.98515606    0.00027928    0.00082831          
470       0.98528513    0.00027317    0.00108140          
471       0.98591218    0.00026388    0.00113903          
472       0.98528954    0.00027291    0.00092171          
473       0.98641928    0.00025729    0.00120394          
474       0.98524686    0.00027030    0.00129476          
475       0.98534536    0.00026972    0.00083405          
476       0.98485088    0.00027387    0.00126877          
477       0.98532266    0.00026591    0.00154134          
478       0.98488301    0.00026969    0.00083405          
479       0.98520333    0.00026966    0.00147118          
480       0.98505020    0.00026793    0.00100389          
481       0.98510668    0.00027027    0.00079813          
482       0.98555580    0.00025944    0.00108444          
483       0.98510874    0.00026565    0.00144355          
484       0.98520771    0.00026303    0.00089066          
485       0.98533966    0.00025985    0.00101769          
486       0.98495928    0.00025934    0.00110361          
487       0.98616089    0.00024844    0.00072365          
488       0.98553334    0.00025322    0.00112310          
489       0.98494695    0.00026342    0.00086454          
490       0.98494477    0.00026220    0.00098492          
491       0.98463818    0.00026733    0.00118281          
492       0.98448286    0.00026313    0.00080102          
493       0.98546122    0.00025172    0.00079836          
494       0.98575807    0.00024573    0.00114388          
495       0.98550896    0.00024799    0.00078123          
496       0.98599362    0.00024030    0.00090381          
497       0.98560973    0.00024815    0.00127803          
498       0.98674238    0.00023265    0.00074422          
499       0.98499895    0.00025425    0.00130428          
500       0.98614305    0.00023910    0.00091758          
501       0.98576734    0.00023916    0.00070165          
502       0.98613949    0.00023507    0.00123664          
503       0.98579553    0.00023742    0.00086202          
504       0.98657645    0.00022786    0.00108325          
505       0.98615806    0.00023227    0.00114284          
506       0.98661233    0.00022758    0.00073938          
507       0.98613106    0.00023399    0.00079186          
508       0.98602653    0.00023518    0.00103536          
509       0.98615023    0.00023259    0.00080860          
510       0.98640814    0.00022584    0.00097288          
511       0.98497426    0.00024194    0.00093210          
512       0.98586946    0.00023541    0.00072441          
513       0.98593053    0.00023245    0.00109847          
514       0.98654492    0.00022399    0.00083626          
515       0.98651562    0.00022486    0.00086622          
516       0.98548184    0.00023617    0.00088747          
517       0.98682457    0.00021762    0.00085199          
518       0.98653663    0.00022286    0.00077979          
