# cycles  fidelity            EL avg              EL var              ||MSE gradient||    ratio accepted samples
344       0.84673             2.57521             130.72293           3.43860             1.0                 
345       0.91936             1.54049             0.38428             2.54345             1.0                 
346       0.85916             2.04415             0.81781             6.15827             1.0                 
347       0.97988             2.00047             217.60133           5.05119             1.0                 
348       0.83298             1.96739             4.59734             3.97007             1.0                 
349       0.85548             2.19776             0.35901             2.64676             1.0                 
350       0.92979             2.65493             188.83357           7.72247             1.0                 
351       0.90258             1.29718             0.47712             2.96646             1.0                 
352       0.89763             3.46095             267.76734           18.06139            1.0                 
353       0.92483             2.21112             123.58748           4.56914             0.999875            
354       0.90269             1.52415             0.47920             3.46305             1.0                 
355       0.96587             2.65881             302.93372           8.04540             0.999875            
356       0.89034             1.32642             0.73746             3.16555             1.0                 
357       0.96267             1.89823             108.33547           2.92567             0.999875            
358       0.94999             1.62945             83.82996            1.01535             1.0                 
359       0.92162             1.25129             14.82288            3.98382             1.0                 
360       0.94549             3.15290             338.20128           16.28339            1.0                 
361       0.95772             4.38231             483.20122           20.77919            1.0                 
362       0.90382             2.61165             143.67024           6.95428             1.0                 
363       0.91883             2.38500             187.65661           7.89959             1.0                 
364       0.86952             1.69375             30.40737            7.00287             1.0                 
365       0.95279             1.66428             0.10046             0.95259             1.0                 
366       0.85689             3.06471             287.73673           12.12822            1.0                 
367       0.83576             1.95999             0.37839             3.09677             1.0                 
368       0.95409             1.55349             104.78024           3.90921             1.0                 
369       0.69556             2.70284             1.69771             8.61273             1.0                 
370       0.88702             2.50628             0.27988             2.33778             1.0                 
371       0.83253             1.44923             15.56194            6.52791             1.0                 
372       0.94126             1.45597             1.10664             2.41532             1.0                 
373       0.92139             1.86188             0.17559             1.31905             1.0                 
374       0.91240             1.81526             20.82041            1.49878             1.0                 
375       0.90734             1.80772             0.17766             1.92351             1.0                 
376       0.90329             2.32639             0.30479             2.43110             1.0                 
377       0.94283             1.85727             106.33211           1.89780             1.0                 
378       0.97689             4.79041             645.03979           19.22129            1.0                 
379       0.93754             5.85581             806.64471           30.35816            1.0                 
380       0.89234             1.64193             104.50979           1.68264             1.0                 
381       0.96522             5.42814             863.59179           22.80470            1.0                 
382       0.96498             3.51723             423.28776           14.10152            1.0                 
383       0.88055             3.90020             554.04245           14.10428            1.0                 
384       0.83712             1.56667             1.14144             5.32163             0.999875            
385       0.88700             1.84709             0.47461             2.54760             1.0                 
386       0.82444             2.18719             0.33550             3.27385             1.0                 
387       0.90231             2.07134             222.14315           4.38727             0.999875            
388       0.85888             2.52490             263.26862           8.19261             1.0                 
389       0.98027             1.98140             299.08915           5.89216             1.0                 
390       0.72722             1.93931             1.50811             8.22285             1.0                 
391       0.86493             1.91097             0.21785             2.20429             0.999875            
392       0.87256             5.00236             682.50976           26.80381            1.0                 
393       0.90624             1.62816             7.00798             2.52895             1.0                 
394       0.91169             2.11407             223.02250           4.82863             1.0                 
395       0.78480             2.91699             0.50291             2.90792             1.0                 
396       0.76888             2.66362             0.52954             3.30849             1.0                 
397       0.76550             1.82286             1.27098             6.11659             1.0                 
398       0.89515             1.66931             0.67593             2.39764             1.0                 
399       0.92232             1.31146             1.23255             2.73121             1.0                 
400       0.93068             1.59262             157.04572           2.40417             1.0                 
401       0.93046             1.52910             0.26391             1.46820             1.0                 
402       0.88884             1.08155             61.22988            4.38505             1.0                 
403       0.94723             3.86677             649.96966           15.61247            1.0                 
404       0.87760             2.19702             0.16182             1.39949             1.0                 
405       0.90061             1.28347             0.42979             3.50056             1.0                 
406       0.89458             2.37867             0.11707             1.19043             1.0                 
