# cycles  fidelity      MSE           ||MSE gradient||    
521       0.50844312    0.07293148    0.00512379          
522       0.50390212    0.07239528    0.00891213          
523       0.50456640    0.07304597    0.00685226          
524       0.50741541    0.07266344    0.00586123          
525       0.50928486    0.07257418    0.00552544          
526       0.50757623    0.07349769    0.00681443          
527       0.50472224    0.07319386    0.00770132          
528       0.50389721    0.07213519    0.00864008          
529       0.50494694    0.07235005    0.00912055          
530       0.50527684    0.07334460    0.00571724          
531       0.50876109    0.07229727    0.00650323          
532       0.50968589    0.07378741    0.00363814          
533       0.50493196    0.07345966    0.00650092          
534       0.50290130    0.07349837    0.00700034          
535       0.50421940    0.07207128    0.00789071          
536       0.50283492    0.07257032    0.00756206          
537       0.50649206    0.07354111    0.00569910          
538       0.50663852    0.07280880    0.00555267          
539       0.50332654    0.07296413    0.00882618          
540       0.50599320    0.07273433    0.00590217          
541       0.50061609    0.07193044    0.01155820          
542       0.50729397    0.07236340    0.00898209          
543       0.50926861    0.07291587    0.00617860          
544       0.50530319    0.07361205    0.00563869          
545       0.51032590    0.07320931    0.00499735          
546       0.50276209    0.07307320    0.00923091          
547       0.50626921    0.07367006    0.00594416          
548       0.50485347    0.07358257    0.00654175          
549       0.50385468    0.07199865    0.01049076          
550       0.50260603    0.07236997    0.00832471          
551       0.50492600    0.07186363    0.00769512          
552       0.50561626    0.07319477    0.00631191          
553       0.50486355    0.07405453    0.00552748          
554       0.50807615    0.07285382    0.00563052          
555       0.50693760    0.07386121    0.00551179          
556       0.50691796    0.07312864    0.00432189          
557       0.50633532    0.07216208    0.00664290          
558       0.51248173    0.07320919    0.00479358          
559       0.50998639    0.07440277    0.00518273          
560       0.50665144    0.07389102    0.00599194          
561       0.50568501    0.07304886    0.00552013          
562       0.50042982    0.07362677    0.00636425          
563       0.50458870    0.07310630    0.00721363          
564       0.50489196    0.07315902    0.00610239          
565       0.50700591    0.07183838    0.00762919          
566       0.50427759    0.07284097    0.00500341          
567       0.50494926    0.07323987    0.00674422          
568       0.50796276    0.07442934    0.00481507          
569       0.50517579    0.07320443    0.00878656          
570       0.50881310    0.07317907    0.00466022          
571       0.50805355    0.07300062    0.00604605          
572       0.50505747    0.07138772    0.00734680          
573       0.50438941    0.07317407    0.00749737          
574       0.50472157    0.07332566    0.00600037          
575       0.50635545    0.07358545    0.00363505          
576       0.50219726    0.07374063    0.00562303          
577       0.50633285    0.07343621    0.00490588          
578       0.50322155    0.07267543    0.00639565          
579       0.50498215    0.07316110    0.00702797          
580       0.50206902    0.07250221    0.00775839          
581       0.50740802    0.07387846    0.00765084          
582       0.50785239    0.07218055    0.00445690          
583       0.50839254    0.07160751    0.00659674          
584       0.50911492    0.07303508    0.00686176          
585       0.50739238    0.07339209    0.00410556          
586       0.50312620    0.07328185    0.00630184          
587       0.50673891    0.07248722    0.00489171          
588       0.50641025    0.07263456    0.00481256          
589       0.50598571    0.07297820    0.00486692          
590       0.50314465    0.07331294    0.00640602          
591       0.50609858    0.07236785    0.00615777          
592       0.50407500    0.07306816    0.00779291          
593       0.50218851    0.07281178    0.00564745          
594       0.50182138    0.07356250    0.00449451          
595       0.50534967    0.07349225    0.00424968          
596       0.50670706    0.07248609    0.01038751          
597       0.50654263    0.07280984    0.00483395          
598       0.50402284    0.07328778    0.00711948          
599       0.50533321    0.07264788    0.00501965          
600       0.50607713    0.07342891    0.00517528          
601       0.50349104    0.07329050    0.00675818          
